OBJECTID,Shape,imperdible,cod_comuna,direccion,barrio,latitud,longitud,cod,nombre_sitio,tipo_atractivo,orden_visualizacion,sitio_web,nombre_comuna,cod_barrio,x_origen_nacional,y_origen_nacional
40,"(4714740.307, 2249785.1853)",NO,11,CL 50 con CR 64B,Suramericana,6.25427246,-75.57897949,AT040,Monumento a la Vida,Escultura,9, ,Laureles Estadio,1102,4714740.307,2249785.1853
41,"(4713855.9462, 2245786.0442000013)",NO,15, CR 65 A No. 13-157,Parque Juan Pablo II,6.21807861,-75.58679199,AT041,Monumento al Tango,Monumento,26, ,Guayabal,Inst_19,4713855.9462,2245786.0442
42,"(4710506.4299, 2248833.9121000003)",NO,13,CL 44 No 50,Belencito,6.2454834,-75.6171875,AT042,Monumento El Pájaro,Monumento,32, ,San Javier,1311,4710506.4299,2248833.9121
43,"(4710506.4299, 2248833.9121000003)",NO,13,CL 44 No 50,Belencito,6.2454834,-75.6171875,AT043,Monumento Paloma de la Paz,Monumento,24, ,San Javier,1311,4710506.4299,2248833.9121
44,"(4715819.3769000005, 2249408.5867999997)",NO,10,CL 51 con CR 52 y 55,La Candelaria,6.25091553,-75.56921387,AT044,Museo al Aire Libre Acueducto del Siglo XIX,Sector urbano o rural de interés,7, ,La Candelaria,1019,4715819.3769,2249408.5868
45,"(4717215.0779, 2248848.195600001)",SI,10,CL 51 No. 36-66,Boston,6.24591064,-75.55657959,AT045,Museo Casa de la Memoria,Museo,97,https://www.medellin.travel/casa-museo-pedro-nel-gomez/,La Candelaria,1016,4717215.0779,2248848.1956
46,"(4717437.1729000015, 2251453.032900002)",NO,03,CR 45 No. 76 -50,Campo Valdés No.2,6.26947021,-75.5546875,AT046,Museo Casa Gardeliana,Museo,66,https://www.medellin.travel/casa-museo-gardeliana/,Manrique,0303,4717437.1729,2251453.0329
47,"(4716692.0514, 2251038.099100003)",SI,04,CR 51 No. 68 - 68,San Pedro,6.26568603,-75.56140137,AT047,Museo Cementerio San Pedro,Museo,70,https://cementeriosanpedro.org.co/,Aranjuez,0408,4716692.0514,2251038.0991
48,"(4715853.9133, 2249563.694599999)",SI,10,CR 52 No. 52 - 43,La Candelaria,6.25231934,-75.56890869,AT048,Museo de Antioquia,Museo,91,https://www.medellin.travel/museo-de-antioquia/,La Candelaria,1019,4715853.9133,2249563.6946
49,"(4715264.126700001, 2246380.024500001)",SI,14, CR 44 No.19 A - 100,Villa Carlota,6.22351074,-75.57409668,AT049,Museo de Arte Moderno de Medellín,Museo,96,https://www.elmamm.org/,El Poblado,1403,4715264.1267,2246380.0245
50,"(4715052.8578, 2248770.9740000013)",NO,10,CR 57 No. 42-139,La Alpujarra,6.24511719,-75.57611084,AT050,Museo del Agua,Museo,52,https://www.grupo-epm.com/site/museodelagua/,La Candelaria,Inst_16,4715052.8578,2248770.974
51,"(4715766.415300001, 2242684.703400001)",SI,14,CL 9 Sur No. 32 - 269,El Castillo,6.19012451,-75.56939697,AT051,Museo El Castillo,Museo,78,https://www.museoelcastillo.org/,El Poblado,1414,4715766.4153,2242684.7034
52,"(4710526.831800001, 2248860.816299999)",NO,13,CR 92 No. 34D - 21,Belencito,6.24572754,-75.61700439,AT052,Museo Etnográfico Madre Laura,Museo,64,https://patrimoniomedellin.gov.co/proyectos/mdm/museos-de-medellin/museo-madre-laura/,San Javier,1311,4710526.8318,2248860.8163
53,"(4716492.7589, 2248959.7269)",NO,10,CR 42 No. 52-08,La Candelaria,6.24688721,-75.56311035,AT053,Palacio de Bellas Artes,Centro de formación cultural,56, ,La Candelaria,1019,4716492.7589,2248959.7269
54,"(4715921.039900001, 2249475.6018000003)",NO,10,CR 51 No. 52-03,La Candelaria,6.25152588,-75.56829834,AT054,Palacio de la Cultura Rafael Uribe Uribe,Otro,88,https://patrimoniomedellin.gov.co/proyectos/mdm/museos-de-medellin/palacio-de-la-cultura/,La Candelaria,1019,4715921.0399,2249475.6018
55,"(4715000.263600001, 2242134.8193000015)",NO,14,CR 43 A con CL 18 sur,El Diamante No.2,6.18511963,-75.57629395,AT055,Parque Ambiental Bosques de La Frontera,Parque urbano,36, ,El Poblado,1413,4715000.2636,2242134.8193
