OBJECTID,Shape,nombre,label,estado,fecha_adopcion,fecha_actualizacion,Shape_Length
58,"(4715468.251441137, 2249465.2785840435)",Avenida Ferrocarril,Carrera 53,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,5115.835338575771
59,"(4715483.573518448, 2249433.722810313)",Calle 49,Calle 49,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,6900.593158905207
60,"(4715958.553730907, 2244834.715518206)",Calle 10,Calle 10,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,640.8616823707943
61,"(4716864.019965868, 2253352.6946597993)",Carrera 53,Carrera 53,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1532.1432864679275
62,"(4717234.55532983, 2251860.596350579)",Calle 80,Calle 80,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1817.9924736720677
63,"(4718080.646303199, 2253316.6424027933)",Calle 95 - 95A,Calle 95 - 95A,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1100.313751402903
64,"(4715828.960014976, 2248008.9459518855)",Carrera 43A,Carrera 43A,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,324.0650506686609
65,"(4715005.118723745, 2253724.788168141)",Calle 94,Calle 94,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1501.3166603047848
66,"(4717361.19128896, 2247728.9169836217)",Calle 42,Calle 42,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1474.3961606021128
67,"(4717458.279240485, 2247987.2873637183)",Carrera 30,Carrera 30,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1196.7108893387044
68,"(4718156.825413068, 2254127.3093410335)",Carrera 42B,Carrera 42B,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1952.5454718273759
69,"(4717431.200160545, 2251431.5779286143)",Carrera 45 - 43A,Carrera 45 - 43A,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,4104.100601584152
70,"(4716553.737534729, 2256123.4641585094)",Calle 120,Calle 120,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1443.2876766850143
71,"(4713770.063915613, 2243452.2497976543)",Calle 12 Sur,Calle 12 Sur,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,545.5828904421819
72,"(4716506.483074716, 2248968.6275990624)",Carrera 43,Carrera 43,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1269.2059988761519
73,"(4714477.832215056, 2242631.5367702646)",Carrera 48,Carrera 48,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1200.6569432410395
74,"(4714306.550581666, 2241920.43276606)",Ciclorrutas propuestas municipios AMVA,Municipio de Envigado,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,515.5751971826005
75,"(4711256.243900401, 2248680.124968528)",Calle 35,Calle 35,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,834.3005494694821
76,"(4711051.193048045, 2249353.962885565)",Carrera 92,Carrera 92,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,985.5281331609708
77,"(4711109.209767245, 2249316.8814618993)",Calle 38,Calle 38,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,685.4476173886187
78,"(4711330.5940198675, 2249091.7355021816)",Carrera 88,Carrera 88,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1114.075134613091
79,"(4711298.025766012, 2250012.563238081)",Carrera 93,Carrera 93,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,457.29026562731895
80,"(4715605.085382569, 2248283.556313398)",Carrera 50,Carrera 50,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,2305.6524442325467
81,"(4716641.243359592, 2250053.8373878193)",Carrera 48,Carrera 48,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,660.8255102787923
82,"(4717011.207459164, 2251132.997028512)",Calle 71A,Calle 71A,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,757.5392305191369
83,"(4717305.403521574, 2252454.2550744223)",Calle 85 - 86,Calle 85 - 86,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1977.0254848842894
84,"(4717471.315293085, 2254597.0944211595)",Calle 107,Calle 107,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,748.5921078104853
