OBJECTID,Shape,nombre,quebrada_asociada,dominio,funcion,categoria,subcategoria,jerarquia,orden,direccion_referencia,cbml,id_zona,accion,Shape_Length,Shape_Area
38,"(4715156.484958356, 2242129.6714253332)",Ecoparque Bosques de la Frontera,Q. La Paulita,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 18 Sur 41AA,14130110014,40,Mantenimiento,1180.208399205287,32871.657044385516
39,"(4708557.528308773, 2245852.8702256144)",Ecoparque La Perla,Q. Altavista,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel zonal / Corregimental,Local,Calle 12 111B,70010000193,54,Mantenimiento,446.3822860287073,11711.329538568125
40,"(4719816.231554156, 2247928.5656685135)",Ecoparque La Castro,Q. La Castro,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 8A 58A,,50,,1242.9240525525327,10699.132844103602
41,"(4719255.468118678, 2250083.5330952476)",Ecoparque Golondrinas,Q. La Loca,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel zonal / Corregimental,Local,Carrera 17B 66,90080000041,47,,720.7927430806538,18902.305221079998
42,"(4716562.015830684, 2242136.791018801)",Ecoparque El Complex 1,Q. La Aguacatala,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 25 12 sur,14110040014,43,Mantenimiento,585.70985091833,17020.256189618856
43,"(4716679.8444870245, 2243539.632535657)",Ecoparque Naranjos 1,Q. La Olleta,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 29 1A sur,14100160086,57,Mantenimiento,685.8979163303243,21767.160342499392
44,"(4706471.123987451, 2241887.103035778)",Ecoparque La Manguala - La Riviera 1,Q. La Manguala,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel zonal / Corregimental,Local,Calle 43A sur 75B,80000820032,32,Mantenimiento,648.7657355708336,22246.911557475338
45,"(4718100.568736613, 2255063.162330938)",Ecoparque El Míster,Q. El Míster,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 46 116,02010130006,45,Mantenimiento,289.85932434465354,1844.4587663390364
46,"(4717298.909443712, 2253624.879981217)",Ecoparque La Rosa - El Zancudo,Q. La Rosa o Moscú o La Sapera,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 49 98A,02110010011,56,Mantenimiento,372.60382954741914,2091.5443576539506
47,"(4717682.052897519, 2254088.5263405456)",Ecoparque Villa del Socorro,Q. Villa del Socorro,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 46A 103,02089990002,59,Mantenimiento,260.514812886705,1523.885285635766
48,"(4716966.089792626, 2254257.9697577464)",Ecoparque Villa del Socorro 2,Q. Villa del Socorro,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 103 50C,02080020024,60,Mantenimiento,70.82911178594534,272.31242255696884
49,"(4717648.033908292, 2255112.974407031)",Ecoparque El Míster 2,Q. El Míster,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 114 49C,02030020015,46,Mantenimiento,205.45006349850172,722.3922039910294
50,"(4717385.78145202, 2254506.169102549)",Ecoparque Juan Bobo,Q. Juan Bobo,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 49B 105CA,02060230024,48,Mantenimiento,597.1219578921671,2990.1160134985917
51,"(4717108.880344063, 2254547.460788796)",Ecoparque Juan Bobo 2,Q. Juan Bobo,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 52 105AA,02080030008,49,Mantenimiento,46.95625234019967,130.58845390181466
52,"(4717906.11682755, 2254389.5060301903)",Ecoparque La Herrera 2,Q. La Herrera o Los Pozos o Granizal,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Calle1 07A 46,01039990002,52,Mantenimiento,329.98015017783825,1454.7826996987478
