OBJECTID *,Nombre *,Tipo *,Dirección,Ciudad *,Shape *,latitud,longitud
2923,Luxury 33,Hotel,"Rosales, Belen, Medellín, Antioquia",Medellín,Point Z,6.2348523,-75.5902541
2924,White House,Hotel,"Transversal 39B Carrera 66B, Laureles, Laureles-Es",Medellín,Point Z,6.2447468,-75.595038
2925,Bulerías,Hotel,"Transversal 39B Carrera 66B, Laureles, Laureles-Es",Medellín,Point Z,6.2447468,-75.595038
2926,Asturias Hotel,Hotel,"Circular 4 Carrera 73 94, Laureles, Laureles-Estad",Medellín,Point Z,6.2464528,-75.5893897
2927,Hotel Asturias,Hotel,"Circular 4 con Carrera 74, Laureles, Laureles-Esta",Medellín,Point Z,6.2464528,-75.5893897
2928,Hotel Picasso,Hotel,"Carrera 69 32A 2-98, Rosales, Belen, Medellín, Ant",Medellín,Point Z,6.235327799999999,-75.5899524
2929,Casa Malibu,Hotel,"Calle 32F 66C 1-199, Rosales, Belen, Medellín, Ant",Medellín,Point Z,6.2384569,-75.58805749999999
2930,Casa Hotel Asturias,Hotel,"Circular 4 con Circular 4 Carrera 73, Laureles, La",Medellín,Point Z,6.245677499999999,-75.5922884
2931,Hotel Balcones de la 70,Hotel,"Carrera 69 con Carrera 69 Circular 2, San Joaquín,",Medellín,Point Z,-33.4959725,-70.6300971
2932,La Hacienda,Hotel,"Circular 2 con Circular 2 Carrera 70, Bolivariana,",Medellín,Point Z,6.2451463,-75.5893334
2933,Finca Hotel Villa del Lago,Hotel,"Diagonal 74C Transversal 32E 1-99, Rosales, Belen,",Medellín,Point Z,6.2365722,-75.5934154
2934,Bolivariana Plaza,Hotel,"Circular 1 con Circular 1 74, U. P. B., Laureles-E",Medellín,Point Z,6.242390299999999,-75.59209
2935,La Cabaña de Beto y María,Hotel,"Carrera 95 con Carrera 95 43, Campo Alegre, La Ame",Medellín,Point Z,3.3743721,-76.5471495
2936,Paisa City Hostel Medellin,Hostel,"Avenida Antonio Roldan, Unidad Deportiva Atanasio ",Medellín,Point Z,6.2541443,-75.5924045
2937,Hotel Zandalo,Hotel,"Carrera 69A 42 2-68, Bolivariana, Laureles-Estadio",Medellín,Point Z,6.247573,-75.5883891
2938,Almaviva Casa Hotel,Hotel,"Carrera 68A 45 1-99, Naranjal, Laureles-Estadio, M",Medellín,Point Z,6.250770699999999,-75.5866795
2939,Hotel Amoblados Ivanna,Hotel,"Carrera 68A 45 1-99, Naranjal, Laureles-Estadio, M",Medellín,Point Z,6.250770699999999,-75.5866795
2940,Hotel Merlott,Hotel,"Calle 44A 70 2-198, Florida Nueva, Laureles-Estadi",Medellín,Point Z,6.2499094,-75.5886917
2941,El Rami Medellín,Hotel,"Carrera 72 Circular 5, Bolivariana, Laureles-Estad",Medellín,Point Z,6.246724899999999,-75.59171599999999
2942,Hotel Los Almendros,Hotel,"Calle 41A 70 2-98, Bolivariana, Laureles-Estadio, ",Medellín,Point Z,6.2476804,-75.58899
2943,Punto 70,Hotel,"Carrera 70 47 44-98, Naranjal, Laureles-Estadio, M",Medellín,Point Z,6.2526481,-75.5876811
2944,Montes,Hotel,"Carrera 70 47, Florida Nueva, Laureles-Estadio, Me",Medellín,Point Z,6.2526481,-75.5876811
